#"FID1 - B:Signal #1 LEO_027_1eq_02h.D"
#Point,X(Minutes),Y(Response Units)
628,0.2093,70579
629,0.2097,70508
630,0.2100,70559
631,0.2103,70521
632,0.2107,70635
633,0.2110,70507
634,0.2113,70566
635,0.2117,70438
636,0.2120,70624
637,0.2123,70579
638,0.2127,70770
639,0.2130,70602
640,0.2133,70660
641,0.2137,70436
642,0.2140,70537
643,0.2143,70467
644,0.2147,70703
645,0.2150,70602
646,0.2153,70688
647,0.2157,70435
648,0.2160,70518
649,0.2163,70469
650,0.2167,70722
651,0.2170,70639
652,0.2173,70672
653,0.2177,70439
654,0.2180,70510
655,0.2183,70603
656,0.2187,70540
657,0.2190,70525
658,0.2193,70341
659,0.2197,70474
660,0.2200,70509
661,0.2203,70771
662,0.2207,70627
663,0.2210,70656
664,0.2213,70391
665,0.2217,70517
666,0.2220,70456
667,0.2223,70667
668,0.2227,70483
669,0.2230,70540
670,0.2233,70332
671,0.2237,70495
672,0.2240,70583
673,0.2243,70533
674,0.2247,70557
675,0.2250,70489
676,0.2253,70578
677,0.2257,70570
678,0.2260,70676
679,0.2263,70608
680,0.2267,70580
681,0.2270,70388
682,0.2273,70463
683,0.2277,70616
684,0.2280,70586
685,0.2283,70580
686,0.2287,70455
687,0.2290,70545
688,0.2293,70590
689,0.2297,70723
690,0.2300,70678
691,0.2303,70682
692,0.2307,70585
693,0.2310,70616
694,0.2313,70789
695,0.2317,70617
696,0.2320,70679
697,0.2323,70448
698,0.2327,70556
699,0.2330,70487
700,0.2333,70666
701,0.2337,70557
702,0.2340,70574
703,0.2343,70392
704,0.2347,70483
705,0.2350,70608
706,0.2353,70525
707,0.2357,70581
708,0.2360,70399
709,0.2363,70529
710,0.2367,70484
711,0.2370,70710
712,0.2373,70580
713,0.2377,70589
714,0.2380,70347
715,0.2383,70455
716,0.2387,70459
717,0.2390,70681
718,0.2393,70522
719,0.2397,70535
720,0.2400,70287
721,0.2403,70426
722,0.2407,70567
723,0.2410,70589
724,0.2413,70637
725,0.2417,70514
726,0.2420,70575
727,0.2423,70565
728,0.2427,70688
729,0.2430,70638
730,0.2433,70647
731,0.2437,70513
732,0.2440,70567
733,0.2443,70668
734,0.2447,70577
735,0.2450,70558
736,0.2453,70445
737,0.2457,70515
738,0.2460,70556
739,0.2463,70714
740,0.2467,70623
741,0.2470,70567
742,0.2473,70407
743,0.2477,70492
744,0.2480,70706
745,0.2483,70591
746,0.2487,70669
747,0.2490,70490
748,0.2493,70633
749,0.2497,70745
750,0.2500,70692
751,0.2503,70616
752,0.2507,70456
753,0.2510,70447
754,0.2513,70662
755,0.2517,70575
756,0.2520,70658
757,0.2523,70508
758,0.2527,70593
759,0.2530,70629
760,0.2533,70779
761,0.2537,70721
762,0.2540,70678
763,0.2543,70544
764,0.2547,70564
765,0.2550,70761
766,0.2553,70678
767,0.2557,70790
768,0.2560,70582
769,0.2563,70649
770,0.2567,70709
771,0.2570,70696
772,0.2573,70660
773,0.2577,70514
774,0.2580,70541
775,0.2583,70550
776,0.2587,70691
777,0.2590,70622
778,0.2593,70587
779,0.2597,70468
780,0.2600,70513
781,0.2603,70672
782,0.2607,70568
783,0.2610,70591
784,0.2613,70460
785,0.2617,70572
786,0.2620,70607
787,0.2623,70740
788,0.2627,70637
789,0.2630,70596
790,0.2633,70508
