#"FID1 - B:Signal #1 LEO_027_1eq_05h.D"
#Point,X(Minutes),Y(Response Units)
752,0.2507,69754
753,0.2510,69596
754,0.2513,69661
755,0.2517,69697
756,0.2520,69854
757,0.2523,69781
758,0.2527,69739
759,0.2530,69595
760,0.2533,69538
761,0.2537,69657
762,0.2540,69656
763,0.2543,69749
764,0.2547,69651
765,0.2550,69731
766,0.2553,69723
767,0.2557,69882
768,0.2560,69808
769,0.2563,69804
770,0.2567,69610
771,0.2570,69619
772,0.2573,69745
773,0.2577,69746
774,0.2580,69721
775,0.2583,69595
776,0.2587,69633
777,0.2590,69619
778,0.2593,69775
779,0.2597,69728
780,0.2600,69723
781,0.2603,69573
782,0.2607,69653
783,0.2610,69829
784,0.2613,69828
785,0.2617,69773
786,0.2620,69633
787,0.2623,69652
788,0.2627,69674
789,0.2630,69801
790,0.2633,69756
791,0.2637,69778
792,0.2640,69655
793,0.2643,69704
794,0.2647,69610
795,0.2650,69711
796,0.2653,69656
797,0.2657,69727
798,0.2660,69609
799,0.2663,69660
800,0.2667,69808
801,0.2670,69839
802,0.2673,69820
803,0.2677,69656
804,0.2680,69670
805,0.2683,69663
806,0.2687,69810
807,0.2690,69771
808,0.2693,69828
809,0.2697,69674
810,0.2700,69684
811,0.2703,69605
812,0.2707,69735
813,0.2710,69710
814,0.2713,69751
815,0.2717,69601
816,0.2720,69628
817,0.2723,69567
818,0.2727,69748
819,0.2730,69744
820,0.2733,69748
821,0.2737,69607
822,0.2740,69601
823,0.2743,69669
824,0.2747,69761
825,0.2750,69769
826,0.2753,69684
827,0.2757,69610
828,0.2760,69653
829,0.2763,69741
830,0.2767,69771
831,0.2770,69759
832,0.2773,69694
833,0.2777,69674
834,0.2780,69610
835,0.2783,69771
836,0.2787,69719
837,0.2790,69679
838,0.2793,69557
839,0.2797,69599
840,0.2800,69691
841,0.2803,69797
842,0.2807,69789
843,0.2810,69722
844,0.2813,69621
845,0.2817,69593
846,0.2820,69656
847,0.2823,69756
848,0.2827,69786
849,0.2830,69701
850,0.2833,69636
851,0.2837,69577
852,0.2840,69626
853,0.2843,69658
854,0.2847,69661
855,0.2850,69605
856,0.2853,69560
857,0.2857,69564
858,0.2860,69756
859,0.2863,69750
860,0.2867,69802
861,0.2870,69643
862,0.2873,69592
863,0.2877,69520
864,0.2880,69646
865,0.2883,69703
866,0.2887,69792
867,0.2890,69747
868,0.2893,69693
869,0.2897,69770
870,0.2900,69712
871,0.2903,69741
872,0.2907,69609
873,0.2910,69706
874,0.2913,69694
875,0.2917,69833
876,0.2920,69722
877,0.2923,69661
878,0.2927,69484
879,0.2930,69527
880,0.2933,69683
881,0.2937,69735
882,0.2940,69694
883,0.2943,69560
884,0.2947,69531
885,0.2950,69571
886,0.2953,69679
887,0.2957,69661
888,0.2960,69642
889,0.2963,69518
890,0.2967,69573
891,0.2970,69668
892,0.2973,69749
893,0.2977,69709
894,0.2980,69613
895,0.2983,69592
896,0.2987,69630
897,0.2990,69716
898,0.2993,69720
899,0.2997,69703
900,0.3000,69632
901,0.3003,69588
902,0.3007,69715
903,0.3010,69686
904,0.3013,69717
905,0.3017,69596
906,0.3020,69632
907,0.3023,69761
908,0.3027,69810
909,0.3030,69754
910,0.3033,69634
911,0.3037,69533
912,0.3040,69540
913,0.3043,69626
914,0.3047,69635
915,0.3050,69702
916,0.3053,69620
917,0.3057,69657
918,0.3060,69675
919,0.3063,69655
920,0.3067,69620
921,0.3070,69582
922,0.3073,69558
923,0.3077,69719
924,0.3080,69736
925,0.3083,69742
926,0.3087,69619
927,0.3090,69601
928,0.3093,69740
929,0.3097,69728
930,0.3100,69696
931,0.3103,69576
932,0.3107,69599
933,0.3110,69683
934,0.3113,69815
935,0.3117,69831
936,0.3120,69795
937,0.3123,69703
938,0.3127,69681
939,0.3130,69789
940,0.3133,69801
941,0.3137,69840
942,0.3140,69718
943,0.3143,69687
944,0.3147,69756
945,0.3150,69787
946,0.3153,69715
947,0.3157,69554
948,0.3160,69484
949,0.3163,69645
950,0.3167,69720
951,0.3170,69759
952,0.3173,69661
953,0.3177,69691
954,0.3180,69681
955,0.3183,69804
956,0.3187,69756
957,0.3190,69697
958,0.3193,69556
